row ID,case_status
341467,1
12669,0
354661,0
76459,0
149166,3
237295,0
7800,1
290591,1
369544,0
326868,1
39801,2
164588,0
309763,1
161275,1
180534,1
159296,1
331652,0
303577,1
207411,0
64847,1
254033,0
273569,0
65141,0
338600,1
218274,1
161405,1
293259,1
323936,0
279706,1
202810,1
101274,1
53276,0
23840,1
86779,0
99258,1
307207,0
4560,0
276503,1
288363,1
201898,1
282559,1
319164,0
5164,0
353894,1
276246,0
227956,0
40384,1
103022,1
55501,1
305241,1
222687,1
177123,0
328869,1
247908,1
65518,1
368240,1
235449,1
56509,1
85744,0
261207,1
252417,1
333363,1
125812,0
203627,1
61418,1
197613,3
10801,1
217387,1
228267,0
55244,0
209297,0
265903,1
106760,1
22166,3
198475,3
205681,1
273372,0
322485,1
369881,1
4287,1
264150,0
261173,1
41055,1
228195,1
165660,3
267940,1
87192,1
242253,1
302676,0
208026,0
273555,1
288594,1
324554,0
365417,0
246209,1
284256,1
140983,1
316911,0
297437,0
200720,0
193808,1
370277,2
35095,0
10690,1
314531,0
77148,1
277318,1
244283,1
52348,1
142261,2
173461,1
352136,0
294503,0
11777,1
356022,0
290885,0
247401,1
120670,2
373291,2
10646,1
136962,0
171666,1
178161,1
80030,0
371340,3
154343,2
103269,0
282409,0
264359,0
33269,0
36191,3
14264,0
95370,0
323791,1
155070,1
342062,0
75432,1
369302,0
124641,0
70603,0
218264,0
169785,1
240371,0
189016,0
27668,0
122382,0
66041,1
144084,0
132042,1
329759,2
161645,0
268864,3
284358,1
9317,1
112760,0
314777,1
281314,1
215766,0
47531,3
169510,1
68426,1
34181,0
30895,1
22163,1
98633,0
68946,1
55776,3
293936,3
276527,0
35417,1
310080,1
175942,1
302174,0
34292,1
286630,3
198659,0
199521,1
330869,0
328217,1
140897,1
263971,0
48122,2
160357,2
64776,1
193097,3
40413,1
302926,1
335469,2
321150,1
23951,1
33493,1
293457,1
216332,1
20060,0
311035,0
221032,1
345461,1
288649,1
2123,0
21251,1
4915,0
141323,1
120665,1
267971,1
221992,2
119604,1
201331,1
98859,1
26725,0
192770,0
85340,0
357258,0
41851,1
19371,0
108139,3
299467,0
95422,1
188946,1
326706,1
115671,0
175602,1
317518,1
142405,1
368640,0
103186,0
118600,1
118925,0
345301,1
325839,3
85063,0
84177,1
266508,0
10426,1
38965,0
281635,1
308586,0
34810,1
103420,0
62537,1
167990,0
313440,0
201152,1
91716,1
99168,0
162760,1
16794,1
105134,0
104659,0
299916,0
241735,1
230275,1
201991,1
67041,1
105980,1
82559,1
203354,0
70538,0
189141,0
231725,1
676,0
80890,0
354986,0
348885,1
142122,1
258758,0
221742,0
219213,1
219854,1
30796,0
267653,1
36015,1
233922,1
355290,0
202632,1
306849,1
235787,0
200287,1
285732,1
305274,0
331016,0
262833,1
312702,0
367388,1
24847,1
265541,2
94137,0
290143,0
86718,0
303189,1
232590,1
38512,1
184814,1
257098,0
100795,2
373712,1
94790,1
84518,1
313725,2
115264,1
198864,1
6887,1
86585,0
318713,1
131719,3
40257,1
101291,1
82320,0
25903,1
372886,0
268240,1
163726,1
26689,1
180603,1
151683,0
44275,0
220957,1
233001,1
231175,1
72076,1
169204,0
160193,1
264236,1
296409,0
208887,1
170010,1
221509,1
178874,0
323400,0
10270,0
244467,1
194242,1
9529,0
371837,3
205579,3
59727,1
169999,1
42360,1
67516,0
315451,0
284853,0
192320,0
292650,0
34052,3
287077,0
310097,1
51297,1
152344,0
305456,1
165709,1
178461,3
205885,1
226622,0
360648,1
206768,1
128161,1
57252,0
72534,0
353369,1
131005,0
279411,1
27574,1
19328,0
130275,1
63353,1
232317,1
353614,0
258314,1
125161,0
263110,1
4647,0
125554,1
73195,1
313519,1
161215,2
92038,1
197543,2
334626,1
274214,0
293057,1
123177,0
265717,0
345472,1
248850,0
364340,1
122953,0
338573,2
208728,1
199790,1
207008,1
159645,3
323931,0
168484,1
269094,1
137927,0
224698,1
60171,1
227378,1
30135,1
267900,1
290824,1
42929,1
153820,1
15241,1
177427,1
294687,0
15942,0
198444,1
36364,3
235535,2
85215,1
170443,1
5562,3
23440,1
148375,0
16443,2
106392,0
295945,1
319810,2
200671,1
116730,0
214895,1
199488,0
262408,0
125406,1
244743,0
336701,1
123625,1
95399,0
72470,1
193805,1
4317,1
74584,1
327688,1
159899,1
201874,1
146037,1
91939,0
172865,0
104811,1
150225,1
342850,1
154050,0
325383,1
266875,0
113431,3
31950,2
345514,1
27689,0
196368,0
275379,2
327573,0
66740,0
133873,2
351233,1
36683,0
299294,1
298584,1
58821,1
157948,0
147612,3
66195,0
373881,0
251162,0
374220,3
233774,0
94358,2
193803,1
225935,1
104244,2
138444,1
57267,1
286132,0
91528,1
331082,1
174801,0
237740,1
65651,0
360231,0
354221,0
197142,0
49330,1
290534,1
348408,1
266278,1
139829,1
106093,0
334939,1
97567,3
109787,1
96684,2
154511,0
264873,1
285875,0
211159,0
199778,1
132866,1
184561,1
370536,0
65488,0
371187,0
46878,0
109786,0
239690,1
9811,2
238724,1
336688,3
17622,1
339897,0
288061,1
136264,1
130214,0
13557,1
4353,0
316145,1
34935,0
286192,1
57368,2
121713,1
356211,0
314046,2
126788,1
361637,0
361716,1
353454,0
162613,1
303377,1
155605,0
27516,0
367094,1
22453,1
114874,1
142040,0
54610,1
217863,1
236486,1
356529,1
226101,0
310323,1
278763,0
225645,0
198445,0
186970,1
32568,0
188007,0
10580,1
367950,3
12140,1
224499,1
16419,1
2507,0
71946,3
266394,3
290671,3
65653,2
36139,1
361720,0
234334,1
28249,0
162234,0
35024,0
207820,0
5389,1
63093,2
4313,1
352355,0
377,1
182821,0
205090,0
308870,1
269893,0
67495,1
261596,0
61343,1
182834,0
64365,2
18214,0
143716,0
367031,0
301461,0
293978,1
140485,1
68677,3
328377,1
322108,1
265110,0
196258,0
291319,0
100434,3
341314,1
254209,1
205512,0
83940,0
283535,0
194172,0
39856,1
194425,0
356730,2
290197,0
310335,1
361727,1
318594,1
12927,0
81114,0
185395,1
10418,1
42512,1
87675,0
329391,1
118863,1
351159,0
72024,0
146605,1
185687,0
241469,1
129133,1
247310,3
289047,3
25186,0
259456,1
67050,0
37896,0
159902,1
97112,1
48897,2
69299,1
120164,0
298181,1
1602,1
190759,1
149115,0
322859,2
56322,3
281948,0
240496,1
155687,0
283419,0
339393,1
59864,1
280868,1
216887,1
198590,0
92019,0
103629,1
67233,0
347804,1
154160,0
156354,0
338814,1
368192,0
338233,0
372997,2
339136,1
82649,2
28958,3
55587,1
129668,0
55766,1
215372,0
169335,1
13635,0
321812,1
300131,1
360895,0
25058,1
277721,0
331531,1
174370,1
340974,0
178531,0
276683,1
128277,1
328085,1
223597,1
350264,1
76813,1
29867,0
158060,1
225381,0
44274,2
140908,0
366955,0
113739,0
199595,1
150079,1
209368,0
155711,0
296179,1
138745,0
239745,0
145892,0
302886,0
178302,0
141753,0
235309,0
326730,1
182490,1
248517,0
276038,0
287426,1
347606,0
56348,1
276906,1
110113,1
131584,0
339818,1
204950,1
225736,1
63560,0
220378,1
103547,0
287175,0
30547,0
331662,1
123569,1
328252,0
90099,0
247747,1
326239,1
126934,0
84052,1
130382,0
248846,0
365079,1
197656,1
301269,0
74073,0
11638,0
165688,0
278708,1
253581,0
165893,1
265406,2
212548,0
196407,1
79248,0
327466,1
48867,1
274333,0
225228,0
362802,1
354521,1
34287,3
167139,1
110032,1
1429,0
57829,1
326069,1
339256,1
184441,1
341101,0
354917,1
4482,0
265255,0
129419,0
143400,1
54805,0
87919,1
148111,1
156205,0
57077,2
200655,1
272199,1
352944,0
